serial_code,name,organization
test001,Mithun Rao,IIT Madras
test002,Ishaan Chowdary,IIT Indore
test003,Rakesh Hegde,IIT Delhi
test004,Chetan Desai,IIT Kharagpur
test005,Shreya Ghosh,IIT Patna
test006,Aarav Kulkarni,IIT Patna
test007,Shreya Yadav,IIT Gandhinagar
test008,Vivek Sarkar,IIT Indore
test009,Arjun Hegde,IIT Guwahati
test010,Tejas Naidu,IIT Delhi
test011,Chetan Kumar,IIT Kharagpur
test012,Ravi Biswas,IIT Kharagpur
test013,Manish Das,IIT Kanpur
test014,Meera Chowdary,NIT Trichy
test015,Pavan Malhotra,IISc Bangalore
test016,Sahil Tripathi,IIT Patna
test017,Girish Das,IIIT Hyderabad
test018,Navya Choudhary,IIT Delhi
test019,Maya Kapoor,BITS Pilani
test020,Harish Saxena,IIT Indore
test021,Dhruv Patel,IIT Gandhinagar
test022,Dev Ali,IIT Kanpur
test023,Pooja Shetty,IIT Indore
test024,Kavya Naidu,IIT Madras
test025,Jahnavi Iyer,IIT Roorkee
test026,Hemanth Varma,IIT Patna
test027,Tejas Tripathi,NIT Warangal
test028,Aniket Das,IIT Hyderabad
test029,Nandini Malhotra,BITS Pilani
test030,Sanjay Ghosh,IISc Bangalore
test031,Rithika Ali,BITS Pilani
test032,Bharat Kapoor,IIT Ropar
test033,Shubham Kulkarni,IIIT Hyderabad
test034,Ramya Malhotra,IIT Gandhinagar
test035,Maya Bose,IIT Kharagpur
test036,Naveen Chowdary,NIT Surathkal
test037,Ishaan Agarwal,IIT Ropar
test038,Priya Desai,IIT Indore
test039,Rashmi Agarwal,IIT Jodhpur
test040,Tanvi Shah,IIT Guwahati
test041,Aniket Verma,IIT Bombay
test042,Dhanush Ghosh,NIT Trichy
test043,Swati Reddy,IIT Indore
test044,Shalini Verma,NIT Warangal
test045,Nithya Pillai,IIT Hyderabad
test046,Deepa Varma,IIT Kanpur
test047,Hemanth Sharma,NIT Surathkal
test048,Krishna Hegde,IIT Delhi
test049,Keerthi Hegde,IIIT Hyderabad
test050,Sanjay Joshi,IIT Jodhpur
test051,Isha Varma,IIT Roorkee
test052,Preethi Naidu,IIIT Hyderabad
test053,Shalini Pandey,BITS Pilani
test054,Ananya Kapoor,IISc Bangalore
test055,Keerthi Sarkar,IIT Ropar
test056,Sakshi Kulkarni,IIT Roorkee
test057,Divya Mishra,IISc Bangalore
test058,Aniket Shetty,IIIT Hyderabad
test059,Priya Menon,IIT Indore
test060,Shubham Varma,IIT Guwahati
test061,Chetan Khan,NIT Trichy
test062,Tarun Yadav,NIT Warangal
test063,Anirudh Kapoor,IIT Ropar
test064,Ravi Sarkar,IIIT Hyderabad
test065,Yash Das,IIT Gandhinagar
test066,Arjun Ghosh,IISc Bangalore
test067,Aniket Sinha,IIT Roorkee
test068,Rahul Gupta,IIT Roorkee
test069,Nikhil Shetty,IIT Jodhpur
test070,Charan Sarkar,IIT Madras
test071,Lakshmi Mukherjee,NIT Surathkal
test072,Deepa Reddy,IIIT Hyderabad
test073,Shalini Roy,IIIT Hyderabad
test074,Charan Agarwal,IIT Roorkee
test075,Lalith Dutta,IIT Jodhpur
test076,Jatin Pillai,IIT BHU
test077,Rohan Patel,IIT Roorkee
test078,Srinivas Mishra,IIT Kharagpur
test079,Dhruv Menon,IIT Kanpur
test080,Nisha Varma,IIT Kanpur
test081,Monika Verma,IIT Indore
test082,Manoj Hegde,IIT BHU
test083,Zoya Nair,IIT Kanpur
test084,Aryan Kulkarni,IIT Bombay
test085,Ramya Choudhary,IIT Indore
test086,Deepa Biswas,IIT Roorkee
test087,Rithika Pandey,IIT Roorkee
test088,Zoya Verma,IIT Jodhpur
test089,Sanika Bose,IIT Delhi
test090,Shalini Khan,BITS Pilani
test091,Anirudh Joshi,IISc Bangalore
test092,Varun Varma,NIT Surathkal
test093,Sameer Menon,IIT Jodhpur
test094,Sachin Banerjee,IIT Jodhpur
test095,Nandini Roy,IIT Kharagpur
test096,Meera Mishra,BITS Pilani
test097,Sneha Desai,IIT Bombay
test098,Manish Chowdary,IIIT Hyderabad
test099,Swati Tripathi,IIIT Hyderabad
test100,Srinivas Verma,IIIT Hyderabad
test101,Manoj Naidu,IISc Bangalore
test102,Priya Sinha,IIIT Hyderabad
test103,Shubham Biswas,IIT Madras
test104,Ashwin Mishra,IIT Guwahati
test105,Manoj Menon,IIT Patna
test106,Harish Kapoor,IIT Bombay
test107,Rakesh Biswas,IIT Patna
test108,Sanika Sharma,IIT Hyderabad
test109,Ishaan Iyer,IIT Roorkee
test110,Sanjana Krishnan,IIT Jodhpur
